tE_bin,piE_bin,tE_left_days,tE_right_days,tE_center_days,piE_left,piE_right,piE_center,n_positive,n_detected,n_confused,detection_fraction,shown_in_heatmap
4,8,8.114840867550425,10.892184959752594,9.401507732715983,0.29317331822241716,0.447213595499958,0.3620926590624291,111,0,111,0.0,True
4,9,8.114840867550425,10.892184959752594,9.401507732715983,0.447213595499958,0.6821903207721969,0.5523448073149632,134,0,134,0.0,True
4,10,8.114840867550425,10.892184959752594,9.401507732715983,0.6821903207721969,1.040629440692656,0.8425599871529117,144,1,143,0.006944444444444444,True
4,11,8.114840867550425,10.892184959752594,9.401507732715983,1.040629440692656,1.5874010519682002,1.2852611675704677,142,1,141,0.007042253521126761,True
4,12,8.114840867550425,10.892184959752594,9.401507732715983,1.5874010519682002,2.4214595525113247,1.960568142390089,139,3,136,0.02158273381294964,True
4,13,8.114840867550425,10.892184959752594,9.401507732715983,2.4214595525113247,3.6937523489595185,2.990697562442443,76,9,67,0.11842105263157894,True
4,14,8.114840867550425,10.892184959752594,9.401507732715983,3.6937523489595185,5.6345382276956855,4.5620816316516235,39,9,30,0.23076923076923078,False
4,15,8.114840867550425,10.892184959752594,9.401507732715983,5.6345382276956855,8.595059451754269,6.959108495362503,10,3,7,0.3,False
4,16,8.114840867550425,10.892184959752594,9.401507732715983,8.595059451754269,13.111109374690052,10.615590636131074,0,0,0,,False
4,17,8.114840867550425,10.892184959752594,9.401507732715983,13.111109374690052,20.0,16.193275996344934,0,0,0,,False
5,0,10.892184959752594,14.620088691064332,12.619219870937343,0.01,0.015254239308390182,0.012350805361752804,0,0,0,,False
5,1,10.892184959752594,14.620088691064332,12.619219870937343,0.015254239308390182,0.02326918168776363,0.01884021406395259,4,0,4,0.0,False
5,2,10.892184959752594,14.620088691064332,12.619219870937343,0.02326918168776363,0.035495366597555714,0.028739313395283128,2,0,2,0.0,False
5,3,10.892184959752594,14.620088691064332,12.619219870937343,0.035495366597555714,0.05414548164181543,0.043839636409047256,3,0,3,0.0,False
5,4,10.892184959752594,14.620088691064332,12.619219870937343,0.05414548164181543,0.08259481344323,0.0668740304976422,28,0,28,0.0,False
5,5,10.892184959752594,14.620088691064332,12.619219870937343,0.08259481344323,0.12599210498948735,0.10201124647276179,60,0,60,0.0,True
5,6,10.892184959752594,14.620088691064332,12.619219870937343,0.12599210498948735,0.19219137204774617,0.1556103965842683,116,0,116,0.0,True
5,7,10.892184959752594,14.620088691064332,12.619219870937343,0.19219137204774617,0.29317331822241716,0.23737182283699315,169,0,169,0.0,True
5,8,10.892184959752594,14.620088691064332,12.619219870937343,0.29317331822241716,0.447213595499958,0.3620926590624291,300,4,296,0.013333333333333334,True
5,9,10.892184959752594,14.620088691064332,12.619219870937343,0.447213595499958,0.6821903207721969,0.5523448073149632,351,2,349,0.005698005698005698,True
5,10,10.892184959752594,14.620088691064332,12.619219870937343,0.6821903207721969,1.040629440692656,0.8425599871529117,391,16,375,0.04092071611253197,True
5,11,10.892184959752594,14.620088691064332,12.619219870937343,1.040629440692656,1.5874010519682002,1.2852611675704677,442,20,422,0.04524886877828054,True
5,12,10.892184959752594,14.620088691064332,12.619219870937343,1.5874010519682002,2.4214595525113247,1.960568142390089,370,54,316,0.14594594594594595,True
5,13,10.892184959752594,14.620088691064332,12.619219870937343,2.4214595525113247,3.6937523489595185,2.990697562442443,201,49,152,0.24378109452736318,True
5,14,10.892184959752594,14.620088691064332,12.619219870937343,3.6937523489595185,5.6345382276956855,4.5620816316516235,93,45,48,0.4838709677419355,True
5,15,10.892184959752594,14.620088691064332,12.619219870937343,5.6345382276956855,8.595059451754269,6.959108495362503,10,5,5,0.5,False
5,16,10.892184959752594,14.620088691064332,12.619219870937343,8.595059451754269,13.111109374690052,10.615590636131074,1,0,1,0.0,False
5,17,10.892184959752594,14.620088691064332,12.619219870937343,13.111109374690052,20.0,16.193275996344934,1,1,0,1.0,False
6,0,14.620088691064332,19.623885760698847,16.93820977213152,0.01,0.015254239308390182,0.012350805361752804,1,0,1,0.0,False
6,1,14.620088691064332,19.623885760698847,16.93820977213152,0.015254239308390182,0.02326918168776363,0.01884021406395259,1,0,1,0.0,False
6,2,14.620088691064332,19.623885760698847,16.93820977213152,0.02326918168776363,0.035495366597555714,0.028739313395283128,8,0,8,0.0,False
6,3,14.620088691064332,19.623885760698847,16.93820977213152,0.035495366597555714,0.05414548164181543,0.043839636409047256,23,0,23,0.0,False
6,4,14.620088691064332,19.623885760698847,16.93820977213152,0.05414548164181543,0.08259481344323,0.0668740304976422,38,0,38,0.0,False
6,5,14.620088691064332,19.623885760698847,16.93820977213152,0.08259481344323,0.12599210498948735,0.10201124647276179,120,1,119,0.008333333333333333,True
6,6,14.620088691064332,19.623885760698847,16.93820977213152,0.12599210498948735,0.19219137204774617,0.1556103965842683,245,0,245,0.0,True
6,7,14.620088691064332,19.623885760698847,16.93820977213152,0.19219137204774617,0.29317331822241716,0.23737182283699315,415,4,411,0.00963855421686747,True
6,8,14.620088691064332,19.623885760698847,16.93820977213152,0.29317331822241716,0.447213595499958,0.3620926590624291,714,10,704,0.014005602240896359,True
6,9,14.620088691064332,19.623885760698847,16.93820977213152,0.447213595499958,0.6821903207721969,0.5523448073149632,894,52,842,0.058165548098434,True
6,10,14.620088691064332,19.623885760698847,16.93820977213152,0.6821903207721969,1.040629440692656,0.8425599871529117,1147,136,1011,0.11857018308631212,True
6,11,14.620088691064332,19.623885760698847,16.93820977213152,1.040629440692656,1.5874010519682002,1.2852611675704677,1097,263,834,0.2397447584320875,True
6,12,14.620088691064332,19.623885760698847,16.93820977213152,1.5874010519682002,2.4214595525113247,1.960568142390089,747,253,494,0.3386880856760375,True
6,13,14.620088691064332,19.623885760698847,16.93820977213152,2.4214595525113247,3.6937523489595185,2.990697562442443,356,196,160,0.550561797752809,True
